YEAR   CanESM5   CNRM-ESM2-1   IPSL-CM6A-LR   MIROC-ES2L   UKESM1-0-LL 
1987.00 287.1690 287.0350 286.5820 288.4830 286.5280 
1988.00 287.2150 287.0520 286.6350 288.5390 286.6220 
1989.00 287.3190 287.1240 286.7280 288.4500 286.6950 
1990.00 287.3650 287.1380 286.7030 288.5000 286.7230 
1991.00 287.3820 287.0450 286.6640 288.6550 286.6820 
1992.00 287.1430 287.0300 286.4930 288.4220 286.4470 
1993.00 287.1750 287.0410 286.5410 288.3720 286.4930 
1994.00 287.2450 287.0560 286.5740 288.3590 286.5720 
1995.00 287.3640 287.0480 286.6360 288.4450 286.6630 
1996.00 287.4280 287.1980 286.7230 288.6080 286.7770 
1997.00 287.4350 287.1530 286.8090 288.7580 286.8500 
1998.00 287.5040 287.1570 286.8040 288.6490 286.9380 
1999.00 287.6260 287.2350 286.8660 288.5560 286.9680 
2000.00 287.7060 287.2770 286.9390 288.6490 287.0370 
2001.00 287.7850 287.2990 286.9620 288.7970 287.0750 
2002.00 287.8540 287.2340 286.9440 288.8220 287.1280 
2003.00 287.8920 287.3130 286.9820 288.8550 287.1710 
2004.00 287.8940 287.3360 287.0160 288.8500 287.1790 
2005.00 287.8660 287.3370 287.0430 288.8440 287.1770 
2006.00 287.8980 287.3540 287.0680 288.8190 287.1930 
2007.00 287.8990 287.4420 287.0560 288.8990 287.2600 
2008.00 287.9720 287.4670 287.0790 288.9180 287.3040 
2009.00 288.0220 287.4340 287.1510 288.8730 287.3070 
2010.00 288.0800 287.4480 287.1670 288.9100 287.3820 
2011.00 288.1290 287.4900 287.2100 288.9410 287.4610 
2012.00 288.1810 287.5010 287.1870 289.0040 287.4640 
2013.00 288.2280 287.5530 287.2270 288.9730 287.5270 
2014.00 288.2900 287.4630 287.2760 288.9570 287.5980 
2015.00 288.3080 287.5900 287.3240 289.3000 287.6690 
2016.00 288.3310 287.6910 287.3820 288.9030 287.7570 
2017.00 288.3720 287.7210 287.5240 288.7820 287.7110 
2018.00 288.3850 287.7860 287.4310 288.9320 287.7200 
2019.00 288.4370 287.6980 287.4330 289.1230 287.7520 
2020.00 288.5280 287.8880 287.5500 289.4640 287.8650 
2021.00 288.5570 287.9060 287.4850 289.1150 287.8670 
2022.00 288.6150 287.8210 287.5710 289.0410 287.8850 
2023.00 288.6340 287.9570 287.5500 289.0820 288.0070 
2024.00 288.6840 288.0600 287.5890 289.3160 288.1780 
2025.00 288.7120 287.9750 287.7980 289.4910 288.2520 
2026.00 288.7460 288.0260 287.8240 289.5480 288.2210 
2027.00 288.7690 287.9780 287.7640 289.2140 288.2310 
2028.00 288.8170 288.0870 287.6840 289.3040 288.2660 
2029.00 288.8570 288.0820 287.7540 289.4320 288.3030 
2030.00 288.8890 288.1270 287.8050 289.5760 288.3310 
2031.00 288.8830 288.1440 287.8250 289.8040 288.3580 
2032.00 288.9190 288.1780 287.8030 289.4790 288.4160 
2033.00 288.9660 288.1990 287.9400 289.3900 288.4920 
2034.00 288.9450 288.2720 287.9420 289.6110 288.5030 
2035.00 288.9820 288.2290 287.9350 289.7760 288.4550 
2036.00 288.9870 288.1910 287.9610 289.8820 288.5360 
2037.00 288.9940 288.2930 288.1210 289.6200 288.5850 
2038.00 289.0390 288.3740 288.0990 289.4300 288.5790 
2039.00 289.0830 288.3410 288.0960 289.5020 288.6180 
2040.00 289.0500 288.3470 288.1380 289.6310 288.6210 
2041.00 289.0350 288.2800 288.0830 289.8840 288.5700 
2042.00 289.0730 288.3710 288.0630 289.5460 288.5850 
2043.00 289.0700 288.2400 288.0850 289.3150 288.6920 
2044.00 289.0420 288.2490 288.0740 289.5970 288.7640 
2045.00 289.0780 288.3370 288.0930 289.9110 288.7160 
2046.00 289.0910 288.2910 288.1320 289.6860 288.7240 
2047.00 289.1100 288.3620 288.1160 289.5240 288.7320 
2048.00 289.1220 288.3690 288.2430 289.4510 288.7040 
2049.00 289.1120 288.3270 288.2000 289.5740 288.6830 
2050.00 289.0950 288.3340 288.0300 289.7880 288.6640 
2051.00 289.0830 288.3780 288.0340 289.5710 288.6360 
2052.00 289.0560 288.3950 288.0640 289.4410 288.7210 
2053.00 289.0660 288.2570 288.2560 289.5630 288.7760 
