YEAR  ACCESS-ESM1.5  CanESM5  CESM2  CNRM-ESM2-1  IPSL-CM6A-LR  MIROC-ES2L  MPI-ESM1.2-LR  NorESM2-LM  UKESM1-0-LL 
1961.00 287.7060 286.9340 287.3210 286.9020 286.3340 288.3710 287.0470 287.5170 286.4810  
1962.00 287.7290 286.8990 287.3480 286.8160 286.3100 288.3340 286.9590 287.5630 286.4980  
1963.00 287.7390 286.8100 287.3340 286.7650 286.2730 288.2580 286.8700 287.4680 286.4220  
1964.00 287.6120 286.7390 287.2830 286.7150 286.1620 288.1380 286.8610 287.4630 286.3040  
1965.00 287.6480 286.7630 287.1900 286.7500 286.1840 288.1680 286.9270 287.5700 286.3110  
1966.00 287.6450 286.7510 287.2150 286.8300 286.2710 288.3320 286.9250 287.6540 286.3500  
1967.00 287.4660 286.7020 287.1640 286.8370 286.3310 288.3190 286.8860 287.4690 286.3110  
1968.00 287.5690 286.7770 287.2230 286.8150 286.3190 288.2380 286.9320 287.4850 286.2810  
1969.00 287.6910 286.8090 287.3210 286.8900 286.3300 288.3200 286.9530 287.4690 286.2920  
1970.00 287.6200 286.8270 287.3790 286.8080 286.3330 288.2940 286.9660 287.5670 286.3340  
1971.00 287.6150 286.8380 287.4090 286.8290 286.3200 288.2740 286.9970 287.6500 286.3640  
1972.00 287.6180 286.8130 287.3830 286.8070 286.3630 288.2680 287.0130 287.6360 286.3840  
1973.00 287.6400 286.8570 287.4260 286.8090 286.3810 288.2100 287.0130 287.5910 286.3540  
1974.00 287.6010 286.9140 287.4220 286.8750 286.3790 288.3710 287.0470 287.6120 286.3750  
1975.00 287.6510 286.8600 287.3640 286.8090 286.3510 288.5200 286.9290 287.5310 286.3450  
1976.00 287.7670 286.8690 287.3770 286.8790 286.3640 288.3960 286.9660 287.6150 286.3430  
1977.00 287.7300 286.8980 287.4720 286.9530 286.3650 288.1960 287.0360 287.6450 286.3770  
1978.00 287.7050 286.9690 287.4930 286.9370 286.4000 288.2520 287.0740 287.7510 286.4130  
1979.00 287.7760 287.0030 287.5480 286.8910 286.4520 288.4310 287.1280 287.7420 286.4860  
1980.00 287.8220 287.0660 287.5090 286.9480 286.4910 288.5610 287.1560 287.7070 286.5130  
1981.00 287.8050 287.0740 287.5280 286.9510 286.5020 288.4210 287.1550 287.6780 286.5200  
1982.00 287.8880 287.0620 287.4970 286.9600 286.5240 288.3070 287.0850 287.8490 286.5330  
1983.00 287.7860 286.9840 287.4180 286.8960 286.4050 288.3330 287.0230 287.8060 286.4590  
1984.00 287.8520 287.0770 287.5040 286.9200 286.4650 288.3830 287.1360 287.6780 286.5150  
1985.00 287.8240 287.1500 287.5900 286.9540 286.5070 288.4980 287.1670 287.7050 286.5040  
1986.00 287.9080 287.1500 287.5620 287.0720 286.5530 288.5340 287.1830 287.8010 286.5510  
1987.00 287.8560 287.1690 287.6310 287.0350 286.5820 288.4830 287.1930 287.7260 286.5280  
1988.00 287.9000 287.2150 287.6670 287.0520 286.6350 288.5390 287.2680 287.7980 286.6220  
1989.00 287.9220 287.3190 287.6510 287.1240 286.7280 288.4500 287.2740 287.9500 286.6950  
1990.00 287.9920 287.3650 287.7020 287.1380 286.7030 288.5000 287.2980 287.8990 286.7230  
1991.00 287.9440 287.3820 287.6780 287.0450 286.6640 288.6550 287.3280 287.8370 286.6820  
1992.00 287.8450 287.1430 287.4910 287.0300 286.4930 288.4220 287.0720 287.6520 286.4470  
1993.00 287.8910 287.1750 287.5380 287.0410 286.5410 288.3720 287.1500 287.6140 286.4930  
1994.00 287.8070 287.2450 287.6450 287.0560 286.5740 288.3590 287.2210 287.7340 286.5720  
1995.00 287.9160 287.3640 287.6670 287.0480 286.6360 288.4450 287.2810 287.8220 286.6630  
1996.00 288.0280 287.4280 287.7270 287.1980 286.7230 288.6080 287.4010 287.9830 286.7770  
1997.00 288.0950 287.4350 287.8150 287.1530 286.8090 288.7580 287.4660 288.1190 286.8500  
1998.00 288.1310 287.5040 287.8010 287.1570 286.8040 288.6490 287.4610 288.0760 286.9380  
1999.00 288.2490 287.6260 287.8480 287.2350 286.8660 288.5560 287.4790 288.1590 286.9680  
2000.00 288.2530 287.7060 287.9150 287.2770 286.9390 288.6490 287.5030 288.2540 287.0370  
2001.00 288.3510 287.7850 288.0570 287.2990 286.9620 288.7970 287.5750 288.3470 287.0750  
2002.00 288.3770 287.8540 288.0760 287.2340 286.9440 288.8220 287.5470 288.2360 287.1280  
