YEAR  CanESM5  CNRM-ESM2-1  IPSL-CM6A-LR  
2049.00 290.0170 288.6790 288.5800       
2050.00 290.0960 288.6890 288.6050       
2051.00 290.0420 288.7260 288.6350       
2052.00 290.1420 288.7750 288.5990       
2053.00 290.1480 288.7980 288.5860       
2054.00 290.2210 288.8570 288.7290       
2055.00 290.1970 288.8570 288.8750       
2056.00 290.3270 288.9540 288.9000       
2057.00 290.4210 288.9750 288.8720       
2058.00 290.3940 288.9750 289.0000       
2059.00 290.3740 289.0720 289.0830       
2060.00 290.5180 289.1130 289.0500       
2061.00 290.6110 289.1900 289.0080       
2062.00 290.6790 289.2730 289.0750       
2063.00 290.6510 289.2410 289.1150       
2064.00 290.7900 289.2940 289.1000       
2065.00 290.7750 289.1850 289.1060       
2066.00 290.7280 289.2970 289.1660       
2067.00 290.7500 289.3650 289.2670       
2068.00 290.9330 289.3660 289.3600       
2069.00 290.9460 289.4750 289.2710       
2070.00 290.9980 289.4770 289.3060       
2071.00 290.9390 289.5040 289.4480       
2072.00 291.0020 289.5710 289.5690       
2073.00 291.0700 289.6900 289.4890       
2074.00 291.1520 289.6100 289.5740       
2075.00 291.2010 289.6560 289.5230       
2076.00 291.1850 289.7630 289.5610       
2077.00 291.2550 289.7340 289.7680       
2078.00 291.3470 289.7870 289.7640       
2079.00 291.4110 289.8190 289.6870       
2080.00 291.3370 289.8900 289.7620       
2081.00 291.3180 289.9010 289.8100       
2082.00 291.3670 289.8930 289.9140       
2083.00 291.4470 289.9910 289.7920       
2084.00 291.4840 290.0190 289.8970       
2085.00 291.5420 290.0670 289.9100       
2086.00 291.5220 290.1690 289.9320       
2087.00 291.5950 290.1270 289.9650       
2088.00 291.6320 290.1210 289.9360       
2089.00 291.6860 290.1880 289.9750       
2090.00 291.7390 290.2480 289.9840       
2091.00 291.7390 290.2120 290.0650       
2092.00 291.7690 290.2960 290.0200       
2093.00 291.7890 290.3570 290.0820       
2094.00 291.9060 290.3770 290.1290       
2095.00 291.8460 290.4400 290.1810       
2096.00 291.8150 290.4610 290.1820       
2097.00 291.8530 290.4350 290.2140       
2098.00 291.9390 290.5060 290.2910       
2099.00 292.0030 290.5350 290.3470       
2100.00 291.9610 290.6390 290.2490       
