YEAR  CanESM5  CNRM-ESM2-1  IPSL-CM6A-LR  UKESM1-0-LL 
1972.00 4.7183 6.4781 5.3640 4.6415      
1973.00 6.4027 8.5198 6.9878 7.0262      
1974.00 2.8419 4.4163 3.3002 3.4993      
1975.00 1.0433 2.8638 1.8675 2.0303      
1976.00 2.6312 4.0836 3.0764 2.9127      
1977.00 5.2392 6.4306 5.7539 5.4979      
1978.00 4.5275 6.7015 5.3943 4.5585      
1979.00 4.4712 6.2534 5.0519 4.3069      
1980.00 5.3091 7.6501 6.2189 5.6621      
1981.00 3.9071 5.4489 4.9673 4.5960      
1982.00 2.4811 4.2202 3.3166 2.8784      
1983.00 4.8916 6.4384 5.6575 5.5581      
1984.00 4.8475 6.8929 5.8953 5.0899      
1985.00 4.6627 6.2904 5.3371 5.5426      
1986.00 4.7818 5.7960 5.3864 4.5917      
1987.00 5.6912 7.7171 6.3296 6.4491      
1988.00 6.9664 8.7636 7.8598 8.5269      
1989.00 5.0712 7.0546 5.8250 5.3645      
1990.00 4.0375 5.5556 5.0586 4.6205      
1991.00 4.3250 6.6077 5.5118 5.6877      
1992.00 4.5514 5.5887 4.7688 5.9075      
1993.00 3.7591 5.7569 4.4127 3.9011      
1994.00 5.1777 6.3990 5.8969 5.0481      
1995.00 6.9381 8.4348 7.3861 7.0276      
1996.00 6.3804 7.6684 6.8763 6.1614      
1997.00 5.0328 6.3047 5.3914 4.6506      
1998.00 8.4014 9.4452 9.0943 7.8715      
1999.00 7.0100 8.3282 7.4821 6.6148      
2000.00 5.0526 6.5977 5.6921 6.0036      
2001.00 4.8768 6.7456 6.3148 5.3475      
2002.00 6.1307 9.6805 8.1751 6.4008      
2003.00 7.7346 9.6085 8.7978 8.1897      
2004.00 6.0623 7.5269 6.7576 6.4085      
2005.00 6.8202 8.2356 7.6806 8.0355      
2006.00 7.4449 9.2012 8.0700 7.7713      
2007.00 6.6019 7.6092 7.3147 6.4918      
2008.00 7.3795 8.7517 8.6216 7.6846      
2009.00 5.8645 7.7662 6.6456 7.0466      
2010.00 8.0971 8.9433 8.3300 9.1209      
2011.00 7.5245 8.7546 8.5384 7.6579      
2012.00 6.9760 8.6051 8.5037 7.1816      
2013.00 8.4459 10.0157 9.3118 9.3371      
2014.00 6.6994 8.8648 7.6186 6.6623      
2015.00 8.5491 9.6788 9.0703 8.3486      
2016.00 11.0849 11.1452 11.4232 10.3533      
2017.00 9.8830 10.5722 9.5444 10.1013      
2018.00 10.1463 11.7358 8.6390 10.2961      
2019.00 9.9145 10.4802 10.7095 9.8519      
2020.00 9.2393 11.3709 10.2510 9.8060      
2021.00 9.4170 11.2059 11.0866 9.4153      
2022.00 9.4595 11.1596 9.6672 9.8440      
2023.00 7.3297 11.3127 9.3674 8.9699      
2024.00 9.9951 10.8222 9.1139 9.1940      
2025.00 10.7693 10.9727 11.0703 9.2616      
2026.00 9.7686 10.4769 9.4038 8.9231      
2027.00 9.1809 11.1525 9.6054 8.5712      
2028.00 9.4783 10.6751 10.0367 8.6754      
2029.00 10.2464 10.0710 11.6079 8.9387      
2030.00 9.6882 10.6741 9.6441 8.3516      
2031.00 8.1492 10.5655 9.2532 8.5322      
2032.00 8.0753 9.9445 8.7208 7.5587      
2033.00 9.3814 10.5604 9.9500 8.2739      
2034.00 10.2574 9.6731 8.4192 9.4763      
2035.00 8.4215 9.1984 9.2808 8.3325      
2036.00 8.4103 9.5613 7.0853 7.2357      
2037.00 8.1767 9.5372 7.7719 6.5848      
2038.00 7.6243 8.8643 8.6651 8.2846      
2039.00 7.3318 8.8630 9.5159 7.5029      
2040.00 8.8976 8.7004 7.4357 6.8053      
2041.00 9.0627 9.1989 7.0414 6.8431      
2042.00 7.7441 8.1826 7.9779 5.8751      
2043.00 7.6261 8.9696 6.0784 6.6022      
2044.00 6.6908 7.7863 7.8134 6.7273      
2045.00 7.8526 8.0681 6.2673 6.7573      
2046.00 7.3074 7.3556 5.2434 6.0905      
2047.00 6.7537 7.4479 5.7624 5.0699      
2048.00 6.2346 6.3999 6.4314 5.4052      
2049.00 5.6710 7.2783 5.5688 5.0489      
2050.00 5.6079 6.3961 7.2942 4.3778      
2051.00 4.8478 5.5023 4.4228 4.1675      
2052.00 5.7615 6.5404 5.3819 4.1714      
2053.00 5.0059 5.9202 6.1036 4.1885      
2054.00 4.3286 6.2818 4.9151 4.1242      
2055.00 4.5782 5.3780 3.2977 3.9261      
2056.00 6.4306 5.4934 4.6777 3.7459      
2057.00 4.9239 6.0324 5.9621 4.6531      
2058.00 3.5833 4.7086 3.7029 4.1110      
2059.00 3.3815 4.6193 4.3660 2.8259      
2060.00 5.6401 4.7066 5.3042 1.7233      
2061.00 3.9806 5.4951 4.4650 3.6471      
2062.00 4.3169 4.4850 4.4962 3.4637      
2063.00 4.6525 4.4992 4.2501 2.8262      
2064.00 3.2136 4.9769 4.7571 2.1068      
2065.00 3.1525 4.0086 3.2833 3.1423      
2066.00 3.4638 4.5074 3.8440 1.5390      
2067.00 2.3380 3.8739 3.1541 1.5182      
2068.00 2.8567 4.1805 3.8109 2.0921      
2069.00 2.3759 3.4723 2.6897 2.1351      
2070.00 2.6118 4.3538 2.3153 1.4788      
2071.00 1.6656 3.2737 2.8309 1.0103      
2072.00 2.5132 3.1190 3.4477 0.9565      
2073.00 1.2855 3.3583 1.0700 1.3373      
2074.00 1.1348 3.0792 1.5427 0.6355      
2075.00 1.6081 1.4627 2.1607 0.7678      
2076.00 1.6321 2.7529 2.4253 1.1480      
2077.00 0.5110 2.9319 0.9234 1.2264      
2078.00 -1.7156 2.6167 3.0725 -0.5115      
2079.00 0.4653 1.6845 2.0107 -0.1842      
2080.00 1.9079 2.4974 1.4650 0.4131      
2081.00 0.3217 2.1704 1.5547 -0.2775      
2082.00 -0.0717 1.2432 1.0582 -1.4916      
2083.00 -0.6462 1.3248 0.9825 -0.8945      
2084.00 -0.4337 1.0553 0.7334 -1.3492      
2085.00 -0.4286 0.9778 1.6412 -1.5170      
2086.00 -2.7498 1.2139 -0.2891 -0.9126      
2087.00 -1.7368 0.5615 0.1445 -1.5420      
2088.00 -1.6270 0.6882 -1.3684 -2.0454      
2089.00 -1.5999 -0.0333 -1.5130 -1.2141      
2090.00 -1.9363 -0.0104 0.5544 -1.9512      
2091.00 -3.0260 0.6028 -1.4052 -2.0321      
2092.00 -4.0568 -0.6025 -0.8452 -3.3253      
2093.00 -2.3481 -0.4535 -1.4999 -2.2418      
2094.00 -2.1691 -0.4919 -1.5073 -3.2976      
2095.00 -2.8215 -1.3141 0.0158 -3.1351      
2096.00 -1.7088 -0.5654 -1.2172 -3.3388      
2097.00 -4.1253 -0.6218 -3.0536 -2.7797      
2098.00 -6.0481 -1.0607 -2.1078 -4.6108      
2099.00 -3.3227 -2.4729 -3.2981 -4.4012      
2100.00 -4.3708 -2.1188 -2.7777 -2.7982      
