YEAR   CanESM5   CNRM-ESM2-1   IPSL-CM6A-LR   MIROC-ES2L   UKESM1-0-LL 
2041.00 4.3246 4.7077 5.0205 0.2401 3.7096 
2042.00 2.6330 3.0528 4.8311 2.4417 3.4554 
2043.00 3.5844 4.5039 4.1229 4.4357 1.1320 
2044.00 4.0539 3.4653 3.6955 4.0740 1.0054 
2045.00 3.0096 3.1532 2.3554 0.1852 2.1852 
2046.00 2.6020 3.8981 2.9533 1.2078 1.7337 
2047.00 2.7395 2.6782 2.3696 2.0648 1.7131 
2048.00 2.4132 2.8588 1.9826 2.6496 1.2945 
2049.00 2.0988 2.4062 2.0480 2.3671 2.1220 
2050.00 1.9767 2.0233 2.4357 -0.8851 1.1421 
2051.00 1.8804 1.3753 1.9327 1.1772 1.3283 
2052.00 1.5343 1.7524 2.1774 1.1897 0.9035 
2053.00 1.3533 2.8767 0.4430 1.5418 -0.3289 
2054.00 0.9124 1.9717 1.6209 -1.1779 0.7280 
2055.00 1.5684 1.6685 2.3943 1.3154 -0.0544 
2056.00 0.8587 1.5674 1.9059 1.6080 -0.6149 
2057.00 0.1544 1.7618 1.1189 0.9141 -0.4823 
2058.00 -0.0096 0.6735 1.0788 0.7894 0.9074 
2059.00 1.1635 1.1408 1.2810 -0.9610 -0.3936 
2060.00 0.0036 1.3164 0.5329 0.2544 -0.2000 
2061.00 0.2858 0.9555 1.2524 1.1660 0.1983 
2062.00 0.2613 1.5854 0.9799 0.6670 -0.3410 
2063.00 -0.0491 0.4464 0.7931 -2.1466 -0.0288 
2064.00 -0.2557 0.7742 0.9081 0.8551 -0.3840 
2065.00 -0.7920 0.1012 0.6014 1.7357 -0.2782 
2066.00 -0.3845 1.4526 -0.1100 1.8214 -0.5039 
2067.00 -0.2774 -0.2482 0.1743 -1.6124 -0.0550 
2068.00 -0.2286 0.2277 0.7053 -2.7734 -0.2574 
2069.00 -0.0350 0.1844 -0.3368 -0.1918 -1.6437 
2070.00 -0.2182 0.3730 -0.3793 0.9825 -0.6447 
2071.00 -2.4563 -0.1904 -0.4190 -0.1800 -0.7829 
2072.00 -1.4478 -0.0450 0.3860 -1.3242 -0.6963 
2073.00 -0.9431 -0.9818 -0.0202 -4.1471 -1.1407 
2074.00 -0.9982 -0.1657 -0.9916 -1.5696 -1.8944 
2075.00 -1.8737 -0.7113 0.4580 -0.0232 -1.6597 
2076.00 -1.4575 -0.3331 -1.8070 -0.8260 -0.9003 
2077.00 -2.0835 -0.8012 -0.5191 -2.1154 -1.3990 
2078.00 -2.1371 -0.1629 0.7786 -4.3796 -1.4949 
2079.00 -2.0176 -0.6483 -0.4982 -0.7634 -1.4804 
2080.00 -1.8401 -1.2955 -1.0725 0.7362 -2.1807 
2081.00 -2.0708 -0.5989 -1.3942 0.5557 -1.4612 
2082.00 -1.8037 -0.8888 -0.7228 -3.3360 -2.3419 
2083.00 -1.6389 -0.8156 -1.3689 -2.6869 -3.2106 
2084.00 -2.5461 -1.4298 -1.9422 -2.3333 -1.8482 
2085.00 -2.8177 -1.6061 -0.3262 -1.8115 -1.6333 
2086.00 -1.7073 -1.0329 -0.2252 -1.8965 -2.0475 
2087.00 -2.3212 -1.3607 -1.8498 -4.6865 -2.4371 
2088.00 -3.0110 -1.6618 -2.1012 -0.1848 -2.6551 
2089.00 -3.4787 -1.9023 -1.7631 -0.7949 -3.0066 
2090.00 -2.8922 -1.7094 -1.4872 -2.7904 -1.9836 
2091.00 -2.1822 -2.0838 -2.7534 -4.1265 -1.8752 
2092.00 -2.5769 -2.1658 -1.6350 -3.0305 -2.2738 
2093.00 -3.6504 -1.8611 -2.2692 -1.1377 -2.7647 
2094.00 -3.1355 -2.3255 -2.2429 -2.2300 -3.0600 
2095.00 -3.9764 -2.8172 -2.2117 -3.0310 -3.2667 
2096.00 -4.2201 -2.3861 -1.7395 -5.1921 -2.8269 
2097.00 -3.0156 -2.5353 -2.3527 -3.0580 -2.8324 
2098.00 -2.7663 -2.7333 -3.4578 -1.3736 -3.3046 
2099.00 -3.7447 -2.6620 -2.8471 -2.4860 -3.2932 
2100.00 -4.0345 -3.5758 -2.3489 -4.6321 -3.5356 
